ECG,EDA,RSP
-0.015869141,13.19686771,0.778930664
-0.011703491,13.19717288,0.777587891
-0.009765625,13.1970203,0.777435303
-0.013320923,13.19763065,0.777557373
-0.00958252,13.19671512,0.775299072
-0.006622314,13.18679691,0.774932861
-0.006347656,13.18557621,0.774841309
-0.006744385,13.18481327,0.775146484
-0.002258301,13.18496585,0.774932861
-0.005172729,13.18481327,0.772735596
-0.004074097,13.18405033,0.772613525
-0.001907349,13.18267704,0.772491455
0.002471924,13.18511844,0.772460938
0.00352478,13.18527103,0.77255249
0.006866455,13.18389774,0.772827148
0.008834839,13.18328739,0.772613525
0.014251709,13.1843555,0.772491455
0.01335144,13.18389774,0.770263672
0.018814087,13.18405033,0.770263672
0.015518188,13.18405033,0.770172119
0.017120361,13.18542362,0.77041626
0.015533447,13.18633914,0.769989014
0.012695313,13.18466068,0.770050049
0.011856079,13.1843555,0.770019531
0.015045166,13.18466068,0.770324707
0.00920105,13.18511844,0.770202637
0.009613037,13.18450809,0.770141602
0.009887695,13.18511844,0.770080566
0.014816284,13.18466068,0.770294189
0.009674072,13.18420291,0.770019531
0.006729126,13.18405033,0.770111084
0.009094238,13.18389774,0.770629883
0.017669678,13.18557621,0.77243042
0.017883301,13.18527103,0.772888184
0.02230835,13.18511844,0.773529053
0.03137207,13.18588138,0.774932861
0.033874512,13.18466068,0.775726318
0.013656616,13.18466068,0.77734375
0.000488281,13.18405033,0.779449463
-0.008453369,13.18511844,0.780548096
-0.008666992,13.18496585,0.782714844
-0.012771606,13.18618656,0.784851074
-0.016418457,13.18511844,0.787475586
-0.018066406,13.18557621,0.789794922
-0.011123657,13.18511844,0.792419434
-0.04284668,13.18572879,0.795196533
-0.051773071,13.18618656,0.798370361
0.065856934,13.18450809,0.801513672
0.320266724,13.18450809,0.805297852
0.613098145,13.18481327,0.80859375
0.43145752,13.18450809,0.812683105
-0.117843628,13.18572879,0.81640625
-0.387527466,13.18267704,0.820159912
-0.365020752,13.17214847,0.824523926
-0.218338013,13.173064,0.828887939
-0.087554932,13.17214847,0.833740234
-0.012756348,13.17153812,0.838562012
0.010421753,13.17214847,0.843719482
0.021987915,13.17245365,0.848632813
0.023391724,13.17336917,0.853485107
0.034225464,13.17214847,0.858581543
0.034667969,13.17199588,0.863952637
0.036346436,13.17352176,0.869049072
0.035720825,13.17275882,0.874237061
0.044281006,13.173064,0.880157471
0.047424316,13.17275882,0.885742188
0.056350708,13.17169071,0.891784668
0.060348511,13.17245365,0.898010254
0.074066162,13.17214847,0.90411377
0.085601807,13.17169071,0.910522461
0.100219727,13.17260623,0.917633057
0.113052368,13.17214847,0.92401123
0.12739563,13.17214847,0.931243896
0.126022339,13.17230106,0.938232422
0.128295898,13.17245365,0.944976807
0.108535767,13.17275882,0.952178955
0.061630249,13.17184329,0.959564209
-0.009918213,13.17169071,0.966339111
-0.078338623,13.17245365,0.973419189
-0.135070801,13.17169071,0.980255127
-0.168563843,13.17352176,0.986907959
-0.187332153,13.17184329,0.993835449
-0.189163208,13.17291141,1.000823975
-0.187057495,13.17245365,1.007598877
-0.171157837,13.17214847,1.014282227
-0.154281616,13.17275882,1.020965576
-0.137405396,13.17275882,1.027618408
-0.125396729,13.17260623,1.034118652
-0.108108521,13.17352176,1.04107666
-0.096923828,13.17199588,1.047973633
-0.080749512,13.17214847,1.055023193
-0.069778442,13.17245365,1.061889648
-0.056182861,13.16360355,1.068878174
-0.050796509,13.16100955,1.075836182
-0.047836304,13.15978885,1.082885742
-0.040145874,13.15963626,1.090332031
-0.032440186,13.15994144,1.097625732
-0.02961731,13.16009403,1.105010986
-0.026016235,13.16070438,1.112731934
-0.026626587,13.16085697,1.120269775
-0.02130127,13.15948368,1.128265381
-0.020721436,13.15948368,1.135864258
-0.014724731,13.16085697,1.143768311
-0.01675415,13.16009403,1.151580811
-0.014480591,13.1603992,1.159820557
-0.01171875,13.16100955,1.167510986
-0.011001587,13.16146732,1.175811768
-0.011489868,13.16024662,1.184204102
-0.00680542,13.15948368,1.192321777
-0.00440979,13.16024662,1.2003479
0.003173828,13.16009403,1.208770752
0.001602173,13.16009403,1.217498779
0.002624512,13.15933109,1.225830078
-0.000717163,13.16009403,1.234069824
0.002624512,13.15994144,1.242706299
0.002120972,13.15948368,1.251037598
0.002258301,13.16085697,1.259246826
-0.000991821,13.16024662,1.267364502
0.004470825,13.16070438,1.275482178
0.001571655,13.15994144,1.283935547
0.002792358,13.1591785,1.29208374
0.001022339,13.16055179,1.300048828
0.002090454,13.15963626,1.307678223
0.001754761,13.16100955,1.315612793
0.00340271,13.16024662,1.323028564
0.00062561,13.15872074,1.330352783
0.006149292,13.16055179,1.337921143
0.002197266,13.15948368,1.345550537
0.005508423,13.16116214,1.352630615
0.012786865,13.16009403,1.360351563
0.019104004,13.15994144,1.367218018
0.021026611,13.16009403,1.374237061
0.037109375,13.14834476,1.380981445
0.034667969,13.14880252,1.387237549
0.018859863,13.14880252,1.394348145
0.000473022,13.14758182,1.400238037
-0.005111694,13.14849735,1.406066895
-0.008041382,13.14880252,1.411743164
-0.005981445,13.14819217,1.417510986
-0.010604858,13.14773441,1.422729492
-0.009002686,13.14864994,1.428039551
-0.011474609,13.14773441,1.4324646
-0.027160645,13.14880252,1.43649292
-0.061126709,13.14773441,1.440246582
0.015975952,13.1491077,1.443695068
0.239685059,13.14773441,1.447601318
0.549224854,13.14819217,1.449615479
0.574859619,13.14880252,1.451721191
0.036361694,13.14864994,1.453704834
-0.367797852,13.14742923,1.453643799
-0.409683228,13.14773441,1.456420898
-0.30506897,13.14773441,1.456481934
-0.163757324,13.14712406,1.456604004
-0.060379028,13.14803958,1.45602417
-0.004348755,13.14864994,1.45413208
0.010986328,13.14697147,1.453735352
0.017196655,13.147887,1.451629639
0.02482605,13.14773441,1.449554443
0.034683228,13.14819217,1.447143555
0.037124634,13.14834476,1.444335938
0.042755127,13.14834476,1.441070557
0.043518066,13.14803958,1.437866211
0.04838562,13.14834476,1.433410645
0.054855347,13.14697147,1.429382324
0.065292358,13.14697147,1.425018311
0.073471069,13.14819217,1.420654297
